City,Colors Reported,Shape Reported,State,year,time_only
Belton,RED,SPHERE,SC,1939,20:00:00
Bering Sea,RED,OTHER,AK,1943,23:00:00
Portsmouth,RED,FORMATION,VA,1945,01:30:00
Blairsden,GREEN,SPHERE,CA,1946,19:00:00
San Jose,BLUE,CHEVRON,CA,1947,21:00:00
Modesto,BLUE,DISK,CA,1947,22:00:00
Scipio,RED,SPHERE,IN,1948,19:00:00
Tarrant City,ORANGE,CIRCLE,AL,1949,22:00:00
Napa,GREEN,DISK,CA,1950,00:00:00
Coeur d'Alene,ORANGE,CIGAR,ID,1950,13:00:00
Irving,BLUE,DISK,KS,1951,00:30:00
Greenville,GREEN,DISK,MS,1951,20:30:00
Green River,GREEN,SPHERE,WY,1951,12:00:00
Provo,BLUE,DISK,UT,1951,23:30:00
Greenville,ORANGE,TRIANGLE,TX,1952,16:00:00
Norfolk,RED,FIREBALL,VA,1952,22:00:00
Arlington,GREEN,OVAL,VA,1952,21:00:00
Cambridge,RED,SPHERE,MA,1953,18:00:00
Midwest City,YELLOW,FIREBALL,OK,1953,16:00:00
Cleveland,RED,FIREBALL,OH,1953,00:00:00
Artesia,ORANGE,OTHER,NM,1953,19:00:00
Pendleton,GREEN,DISK,IN,1953,22:30:00
St. Louis Airport,RED,OVAL,MO,1954,21:00:00
Los Angeles,RED,CIRCLE,CA,1954,22:00:00
Beaumont,RED,DISK,TX,1954,12:30:00
Red Bank,ORANGE,CIRCLE,NJ,1954,23:10:00
Holbrook,YELLOW,EGG,MA,1955,15:00:00
Terre Haute,ORANGE,CIRCLE,IN,1955,00:00:00
Memphis,ORANGE,CYLINDER,TN,1956,20:00:00
Vista,ORANGE,CIGAR,CA,1956,19:15:00
Bradford,YELLOW,SPHERE,AL,1956,23:30:00
Middle River,BLUE,CIRCLE,MD,1956,20:00:00
Aberdeen,ORANGE,CIRCLE,SD,1956,18:30:00
Russellville,ORANGE,SPHERE,AR,1957,18:00:00
Kansas City,RED,LIGHT,MO,1957,23:30:00
Perry,RED,TRIANGLE,IA,1958,21:00:00
El Sobrante,YELLOW,CIRCLE,CA,1959,09:00:00
Four States,RED,SPHERE,WV,1959,22:30:00
Seattle,GREEN,OVAL,WA,1960,00:00:00
La Verne,ORANGE YELLOW,CIRCLE,CA,1960,01:00:00
Watchung,RED,CIGAR,NJ,1960,18:00:00
Kingsport,ORANGE,CIRCLE,TN,1960,19:00:00
McGuire AFB,RED GREEN,SPHERE,NJ,1961,21:00:00
Richardson,GREEN,LIGHT,TX,1961,15:00:00
La Mirada,ORANGE,CIGAR,CA,1961,19:00:00
Palatine,ORANGE,DISK,IL,1961,20:00:00
Bakersfield,RED,CIRCLE,CA,1961,23:00:00
Shenandoah,YELLOW,LIGHT,PA,1962,21:00:00
Pittsburg,RED,VARIOUS,OK,1962,21:30:00
Avon-by-the-Sea,ORANGE,VARIOUS,NJ,1962,02:00:00
East Windsor,ORANGE,CIRCLE,CT,1962,21:00:00
Lodi,RED,OTHER,OH,1962,14:00:00
Wisconsin,ORANGE,DISK,WI,1962,17:30:00
Alexandria,RED,LIGHT,VA,1963,17:00:00
Williamsport,RED,OTHER,MD,1963,08:00:00
Royal Oak,RED,TRIANGLE,MI,1963,18:00:00
East Vassalboro,ORANGE,TRIANGLE,ME,1963,21:00:00
Albert Lea,BLUE,OVAL,MN,1963,20:00:00
North Yakima,BLUE,CIRCLE,WA,1964,21:30:00
Montrose,BLUE,LIGHT,CO,1964,03:00:00
Chicago,ORANGE,CIRCLE,IL,1964,22:00:00
Milan,RED,SPHERE,TN,1964,21:00:00
Alexandria,RED,DISK,VA,1964,21:00:00
Paloma,ORANGE,OTHER,CA,1964,22:00:00
Hamilton,RED,OVAL,MT,1964,13:00:00
Jonesboro,BLUE,DISK,GA,1965,14:00:00
Laconia,ORANGE,CYLINDER,NH,1965,09:00:00
Albuquerque,GREEN,DISK,NM,1965,02:00:00
Philadelphia,YELLOW,CIGAR,PA,1965,15:00:00
Mount Shasta,BLUE,CIGAR,CA,1965,14:00:00
Fountain Valley,ORANGE,SPHERE,CA,1965,23:00:00
Fayetteville,GREEN,CIRCLE,NC,1965,02:15:00
Los Angeles,RED BLUE,CIGAR,CA,1965,18:30:00
San Gabriel,RED BLUE,OVAL,TX,1965,14:00:00
Hornick,ORANGE,FIREBALL,IA,1965,18:00:00
Aurora,RED,SPHERE,OH,1965,22:00:00
Portland,ORANGE,DISK,OR,1965,23:45:00
Aurora,RED,SPHERE,OH,1965,22:00:00
West Lafayette,RED,DISK,IN,1965,22:00:00
Lowell,RED,FIREBALL,IN,1965,23:59:00
Rutland,RED,CIGAR,MA,1965,22:00:00
Terrebonne,RED,LIGHT,OR,1965,21:30:00
Waterville,BLUE,CIRCLE,ME,1965,05:00:00
Colonial Heights,BLUE,SPHERE,VA,1965,14:00:00
Norwalk,RED ORANGE,DISK,CT,1965,23:45:00
Pittsburgh,BLUE,DISK,PA,1965,13:00:00
Old Saybrook,RED,LIGHT,CT,1965,17:45:00
Syosset,BLUE,DISK,NY,1965,16:30:00
New York City,RED,OVAL,NY,1965,21:00:00
Cherokee,RED GREEN,OTHER,OK,1965,20:00:00
Newtown Square,BLUE,FIREBALL,PA,1965,00:00:00
New Braintree,RED,CIRCLE,MA,1966,21:00:00
Geneva,ORANGE,DISK,NY,1966,22:30:00
Michigan City,RED,RECTANGLE,IN,1966,17:00:00
Columbus,RED,CIRCLE,OH,1966,05:00:00
Roseburg,BLUE,OTHER,OR,1966,11:00:00
Spartanburg,ORANGE,LIGHT,SC,1966,21:00:00
Cape Rosier,GREEN,LIGHT,ME,1966,00:00:00
Columbus,ORANGE,CIRCLE,OH,1966,05:30:00
Bass Harbor,BLUE,DISK,ME,1966,01:45:00
Bakersfield,RED GREEN BLUE,CIRCLE,CA,1966,00:00:00
Columbus,RED YELLOW GREEN,CIRCLE,NE,1966,21:00:00
Delta Junction,ORANGE,CIGAR,AK,1966,18:00:00
Huntington,RED,TRIANGLE,WV,1966,23:00:00
Red Oak,GREEN,OVAL,IA,1966,01:00:00
Utica,RED GREEN,TRIANGLE,NY,1966,20:00:00
Gulfport,RED,EGG,MS,1966,17:50:00
Seattle,RED,DISK,WA,1966,02:00:00
Huntington Beach,BLUE,CIRCLE,CA,1966,19:40:00
Webster City,RED,SPHERE,IA,1966,17:30:00
Salem,ORANGE,DISK,OR,1966,02:39:00
Las Vegas,BLUE,LIGHT,NV,1967,17:45:00
Gainesville,RED,TRIANGLE,FL,1967,19:30:00
Thomasville,BLUE,OTHER,GA,1967,15:30:00
Savannah,ORANGE,CHEVRON,GA,1967,22:00:00
Reidsville,RED YELLOW,CIRCLE,NC,1967,20:00:00
West Lake,ORANGE,CIRCLE,ME,1967,09:00:00
Roseburg,RED,SPHERE,OR,1967,19:00:00
Sag Harbor,GREEN,SPHERE,NY,1967,21:30:00
Hermosa Beach,RED,CIGAR,CA,1967,15:00:00
Tipp City,BLUE,LIGHT,OH,1967,22:30:00
Old Greenwich,BLUE,DISK,CT,1967,18:00:00
Chicago,RED,DISK,IL,1967,21:30:00
Wheaton,RED,CIRCLE,MD,1968,23:00:00
American Falls,GREEN,DISK,ID,1968,22:00:00
Temple,RED,LIGHT,OK,1968,19:00:00
Provo,YELLOW,SPHERE,UT,1968,21:00:00
Delta,RED,SPHERE,CO,1968,21:30:00
Las Vegas,BLUE,LIGHT,NV,1968,13:00:00
Ash Grove,RED ORANGE,SPHERE,MD,1968,19:00:00
Renton,ORANGE,VARIOUS,WA,1968,22:00:00
Greensboro,GREEN BLUE,TRIANGLE,NC,1968,03:00:00
Brevard,ORANGE,CIRCLE,NC,1968,21:00:00
Whittier,BLUE,SPHERE,CA,1968,01:00:00
Ponca City,RED,LIGHT,OK,1968,11:00:00
Plantsville,BLUE,LIGHT,CT,1968,18:30:00
Marion,BLUE,OTHER,MA,1968,19:00:00
Stillwater,GREEN,FIREBALL,ME,1968,23:00:00
Eugene,RED,CIGAR,OR,1968,21:00:00
Niantic,BLUE,DISK,CT,1968,20:20:00
Kansas Ciy,RED,VARIOUS,KS,1968,03:00:00
Santa Rosa,ORANGE,CIRCLE,CA,1968,21:00:00
Boston,RED ORANGE,CIGAR,MA,1968,00:00:00
Hawthorne,ORANGE,CIRCLE,CA,1968,13:00:00
Brevard,RED,FIREBALL,NC,1968,19:00:00
Ocean off Miami,GREEN,LIGHT,FL,1968,01:00:00
Omaha,ORANGE,OVAL,NE,1969,00:00:00
Wilshire,ORANGE YELLOW,SPHERE,CA,1969,20:00:00
Wacousta,ORANGE,SPHERE,MI,1969,03:00:00
Land O'Lakes,RED,DISK,FL,1969,23:00:00
Payson,YELLOW,DISK,AZ,1969,20:00:00
Hawley,ORANGE,CIRCLE,PA,1969,00:00:00
Fort Lauderdale,GREEN,LIGHT,FL,1969,20:30:00
North Hollywood,ORANGE,SPHERE,CA,1969,02:30:00
Fulton,ORANGE,CIRCLE,NY,1969,23:00:00
San Jose,GREEN,LIGHT,CA,1969,21:03:00
Hemet,BLUE,CYLINDER,CA,1970,21:00:00
Denver,ORANGE GREEN BLUE,CIGAR,CO,1970,20:15:00
Columbus,ORANGE,OTHER,GA,1970,19:30:00
Kansas City,GREEN,LIGHT,MO,1970,16:00:00
Tampa,ORANGE,OVAL,FL,1970,02:00:00
Princess Anne,ORANGE,OVAL,MD,1970,17:00:00
West Jefferson,ORANGE,SPHERE,NC,1970,21:00:00
Kent,GREEN BLUE,DISK,WA,1970,23:00:00
La Habra,ORANGE,SPHERE,CA,1970,20:00:00
Lansing,ORANGE,LIGHT,MI,1970,20:30:00
Russellton,ORANGE,TRIANGLE,PA,1970,20:00:00
Columbus,RED,SPHERE,OH,1970,20:00:00
Newton Centre,YELLOW,OTHER,MA,1970,21:00:00
Albany,ORANGE,DISK,GA,1971,08:00:00
Karnes County,ORANGE,CIRCLE,TX,1971,23:10:00
Bolivar,ORANGE,CIGAR,MO,1971,18:00:00
Orono,RED,RECTANGLE,ME,1971,22:00:00
San Antonio,RED,OVAL,TX,1971,10:30:00
Vindoen Island,YELLOW,DISK,OH,1971,08:05:00
Oxnard,BLUE,SPHERE,CA,1971,08:00:00
Sulphur Springs,BLUE,DISK,TX,1972,20:00:00
Greenville,GREEN,CIRCLE,SC,1972,21:30:00
Texas City,ORANGE,LIGHT,TX,1972,22:00:00
Anderson,RED ORANGE,CIRCLE,CA,1972,13:00:00
Millerton,BLUE,DISK,NY,1972,00:00:00
Greensboro,RED,DISK,NC,1972,21:00:00
Buffalo,RED,DISK,NY,1972,23:00:00
Arroy Seco,GREEN,CIRCLE,CA,1972,00:00:00
Greensboro,ORANGE,LIGHT,NC,1972,21:00:00
Goshen,BLUE,OVAL,WI,1972,00:00:00
Rehobeth Beach,RED YELLOW,DISK,DE,1972,21:00:00
Indianapolis,RED YELLOW,CIGAR,IN,1972,17:00:00
Morton,ORANGE,TRIANGLE,MN,1972,17:00:00
Sayreville,GREEN,LIGHT,NJ,1972,22:30:00
Anchorage,BLUE,CIRCLE,AK,1972,01:30:00
Onawa,RED,DISK,IA,1972,10:00:00
Hermann,ORANGE GREEN,DISK,MO,1972,16:00:00
Mussel Shoals,ORANGE,OVAL,AL,1973,21:00:00
Honolulu,BLUE,SPHERE,HI,1973,22:00:00
Goose Creek,BLUE,CIRCLE,SC,1973,11:00:00
Oakcliff,RED GREEN,CIRCLE,TX,1973,16:00:00
Gaithersburg,GREEN,DISK,MD,1973,09:00:00
Hampton,ORANGE,FIREBALL,AR,1973,03:00:00
Mechanicsburg,RED,DISK,PA,1973,00:00:00
Hillsboro,RED,CIRCLE,WV,1973,14:00:00
Upper Freehold,RED GREEN,DISK,NJ,1973,21:50:00
Hampton,BLUE,FORMATION,VA,1973,22:00:00
Weslaco,ORANGE,FORMATION,TX,1973,23:00:00
Gaithersburg,GREEN,DISK,MD,1973,08:00:00
Perth,ORANGE,LIGHT,NY,1973,20:00:00
Asheville,ORANGE,DISK,NC,1973,21:00:00
Salem,RED,CIRCLE,IL,1973,21:30:00
Warm Springs,GREEN,DISK,OR,1973,09:00:00
Hudson,RED,TRIANGLE,KS,1973,21:30:00
Robbins AFB,BLUE,CIRCLE,GA,1973,20:00:00
Nassau,RED,DISK,FL,1973,23:00:00
Little Meadows,RED BLUE,OVAL,PA,1973,19:15:00
Loomis,RED,LIGHT,CA,1973,23:00:00
Hixson,RED,OVAL,TN,1973,21:30:00
Niantic,GREEN,DISK,CT,1973,19:00:00
Birmingham,GREEN,DISK,AL,1973,19:00:00
Weldon,RED,OVAL,NC,1973,18:00:00
Green River,RED,DISK,UT,1973,04:00:00
Orange County,ORANGE,OVAL,CA,1973,01:00:00
Key West,RED,DISK,FL,1973,17:30:00
Colbert Heights,YELLOW GREEN,DISK,AL,1973,18:00:00
Olympia,RED,DIAMOND,WA,1973,01:00:00
Colorado,ORANGE,DISK,CO,1973,16:00:00
Madison,RED YELLOW GREEN,OVAL,ME,1974,19:00:00
Woodlawn,BLUE,FIREBALL,VA,1974,21:00:00
Indianapolis,ORANGE,DISK,IN,1974,03:00:00
Cotton County,ORANGE,RECTANGLE,OK,1974,22:00:00
Santa Ana,RED,SPHERE,CA,1974,22:00:00
Rosalia,GREEN,CHEVRON,WA,1974,20:00:00
Athens,RED,CIRCLE,GA,1974,19:00:00
Taylorsville,RED ORANGE,DISK,NC,1974,21:00:00
Atlanta,RED YELLOW BLUE,DISK,GA,1974,20:00:00
Peebles,GREEN,CIRCLE,OH,1974,00:00:00
Terrytown,RED ORANGE,OTHER,LA,1974,13:00:00
Commerce,RED GREEN BLUE,LIGHT,TX,1974,21:00:00
La Mesa,RED,TRIANGLE,CA,1974,05:30:00
Gibralter,ORANGE,LIGHT,MI,1974,01:00:00
Council Bluffs,RED,DISK,IA,1974,03:00:00
Valley Falls,YELLOW,EGG,KS,1974,02:30:00
Jermyn,RED,FIREBALL,PA,1974,05:30:00
Evanston,ORANGE,DISK,IL,1974,17:00:00
New Albany,RED GREEN,TRIANGLE,IN,1974,22:30:00
East Berkshire,ORANGE,LIGHT,VT,1974,21:00:00
Bridgeport,RED,CIRCLE,CT,1974,21:00:00
King City,GREEN,OVAL,CA,1974,22:00:00
Fulton,ORANGE,DIAMOND,MO,1974,16:30:00
La Junta,GREEN,OTHER,CO,1974,23:00:00
Houston,RED,CIRCLE,TX,1974,19:30:00
New Orleans,RED,OTHER,LA,1974,00:00:00
Aiken,RED GREEN,VARIOUS,SC,1974,21:00:00
West Milton,ORANGE,CIRCLE,OH,1974,21:00:00
Verbena,RED,SPHERE,AL,1974,22:00:00
Akin,RED,TRIANGLE,IL,1975,23:00:00
St. Marys,RED,CIGAR,PA,1975,07:00:00
Reno,RED YELLOW,CIGAR,NV,1975,20:00:00
Lodi,RED,LIGHT,OH,1975,02:00:00
San Antonio,RED,DISK,TX,1975,17:00:00
Iowa City,BLUE,DISK,IA,1975,03:00:00
Kenmore,BLUE,DISK,NY,1975,20:30:00
Newnan,ORANGE,SPHERE,GA,1975,21:00:00
Nashville,YELLOW,LIGHT,TN,1975,23:59:00
Reisterstown,GREEN,FORMATION,MD,1975,18:00:00
Bourbonnais,BLUE,OVAL,IL,1975,13:00:00
Windsor,RED,DISK,NC,1975,21:00:00
Coarsegold,GREEN,CIRCLE,CA,1975,09:00:00
Golden,BLUE,SPHERE,CO,1975,14:00:00
Reseda,GREEN,FORMATION,CA,1975,21:00:00
Turbeville,GREEN,LIGHT,SC,1975,22:00:00
Dumas,ORANGE,OVAL,TX,1975,19:00:00
Albion,BLUE,LIGHT,NY,1975,01:30:00
Port Washington,RED,DISK,WI,1975,03:15:00
Pittsburgh,ORANGE YELLOW,FIREBALL,PA,1975,20:30:00
Walla Walla,GREEN,LIGHT,WA,1975,21:30:00
River Ridge,ORANGE,CIRCLE,LA,1975,18:00:00
Lapeer,RED,OTHER,MI,1975,20:15:00
Jackson,RED GREEN,TRIANGLE,NJ,1975,02:00:00
Joppa,RED ORANGE,CIRCLE,MD,1975,22:00:00
Meriden,YELLOW,DISK,CT,1975,19:45:00
Haines City,ORANGE,DISK,FL,1975,18:00:00
Maricopa,ORANGE,VARIOUS,AZ,1975,22:00:00
Marion,GREEN,LIGHT,KS,1975,16:00:00
Scituate,ORANGE,CIRCLE,RI,1975,17:00:00
Muscatine,ORANGE,CIRCLE,IA,1975,22:25:00
Winslow,BLUE,FIREBALL,AZ,1975,00:00:00
Louisville,ORANGE,FIREBALL,KY,1975,22:30:00
Sunnyvale,BLUE,LIGHT,CA,1975,21:00:00
New Britghton,RED GREEN BLUE,SPHERE,MN,1975,20:00:00
Ft. Yukon,BLUE,OVAL,AK,1976,13:30:00
Sacramento,YELLOW,OTHER,CA,1976,20:30:00
Fort Worth,BLUE,FIREBALL,TX,1976,16:00:00
